Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
92465	#N/A	#N/A	#N/A	SC10	TR34				312		Clark	Y - A		Salix spp.	AH	N	ART		N		N				N	None		H	4	Y	SP	0			1	0	0	0	0	0	0	Rad	N			N		Y	Dowel	Digging Stick	Digging stick - complete	-					N									
93551	502802.52909	481002.68372	23.5778	SC13	TR34	D	17		312	1	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends truncated. Modern root damage	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				780					Y	70	48						MB	200513
93552	502804.03053	481002.77319	23.56381	SC13	TR34				312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight, even stem, central pith, no side branches	N				N	Modern	Both ends missing	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				381					Y	14	6						MB	200513
93553	502803.88901	481002.46978	23.54251	SC13	TR34	B	13		312	1	Brushwood Area	Y - A		Populus spp.	SA Oddly textured, fibrous, harder wood	N	ART		N		N				N	None		H	5	Y	SP TR	0		Both ends TR / rounded and slightly flattened.	1	0	1	0	0	0	0	Tan	N			Y	Possible use wear on end. Very smooth and ?polished	Y	Utilised Debris	Ad-hoc tool, ?burnishing	Utilsied debris	256	20		8		N								MB	200513
93554	502803.20195	481002.76174	23.59504	SC13	TR34	E	16		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight, even stem, central pith, no side branches	N				N	Modern	Both ends missing, freq root damage	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				520					Y	19	10						MB	200513
93556	502803.56213	481003.03138	23.61596	SC13	TR34	E	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW	Y shaped	N		N				N	Modern	Truncated to S by Clark's Trench. Both S ends degraded. Freq root damage	BSH	3	N		0			0	0	0	0	0	0	0		Y	Lightly	c. 1mm on Underside of proximal / N end	N		N				1675					Y	75	52						MB	200513
93558	502802.36271	481003.23138	23.6447	SC13	TR34	D	17		312	1	Brushwood Area	N		After photo		N	DEB		N		N				N	Modern	Fragmented x 2	H	4	Y	SP TR	1	Rad	possible tool facets	1	0	1	0	0	0	0		N			N		N				130	56		4		N								MB	210513
93586	502802.88945	481002.79031	23.62848	SC13	TR34	D	17		312	1	Brushwood Area	N		After photo		N	RW		N		N				N	None		SH	4	Y	TR	0		one end / chopped about	0	0	1	0	0	0	0		N			N		N				270					Y	80	44						MB	200513
93588	502803.06062	481002.88117	23.60097	SC13	TR34	D	17		312	1	Brushwood Area	N		After photo		N	DEB		N		N				N	None		SH	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				187	60		23		N								MB	200513
94001	502800.25215	481001.27274	24.81013	SC13	TR34	A	16		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				105					Y	15	10						MB	240513
94002	#N/A	#N/A	#N/A	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				290					Y	11	5						MB	240513
94003	502799.07793	481003.63198	25.01607	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				440					Y	16	7						MB	240513
94004	502798.93892	481003.71808	25.0273	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	One end truncated by clark, one end degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				498					Y	22	6						MB	240513
94005	502799.57801	481002.47413	23.68355	SC13	TR34	A	17		312	1	Brushwood Area	Y				N	RW		Y	Straight and even, but has eccentric pith	N				N	Modern	Moderate root damage, radial drying cracks, both ends degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				500					Y	30	20						MB	240513
94006	502800.95934	481002.42116	24.86882	SC13	TR34	C	17		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		Y	Heavily	All over	N		N				185					Y	38	35						MB	240513
94007	502799.52754	481002.59788	24.90448	SC13	TR34	A	17		312	1	Brushwood Area	Y				N	DEB		N		N				N	Modern	Both ends degraded	H	3	Y	SP GS PS	0		Parallel sided, incorporating some knots. Grooves may be natural	1	0	0	0	0	0	0	Rad	N			N		Y	Possible groove and split debris			235	16		9		N								MB	240513
94008	502799.86071	481002.13332	24.86782	SC13	TR34	A	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	DEB		N		N				N	Modern	Both ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Rad	N			N		N				80	20	19	6	4	N								MB	240513
94009	502799.67382	481003.15487	23.73106	SC13	TR34	A	18		312	1	Brushwood Area	Y				N	RW		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		Y	Heavily	One end	N		N				140					Y	25	21						MB	240513
94010	502799.32616	481003.03945	23.7114	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		Y	Heavily	All over, both ends burnt off	N		N				210					Y	95	90						MB	240513
94011	502800.01917	481001.96291	24.92447	SC13	TR34	A	17		312	1	Brushwood Area	Y				N	DEB		N		N				N	None		H	2	Y	SP	0			1	0	0	0	0	0	0	Rad?	Y	Heavily	All over	N		N				60	50		30		N								MB	240513
94012	502801.35354	481003.10758	23.67197	SC13	TR34	C	17		312	1	Brushwood Area	N		After photo		N	DEB		N		N				N	Modern	Root damage	H	3	Y	SP PS	1	Rad	Parallel sided	1	0	0	0	0	0	0		N			N		Y	Possible groove and split debris			82	21	20	5	3	N								MB	210513
94013	502801.65183	481002.40157	23.50763	SC13	TR34	C	17		312	1	Brushwood Area	N		After photo		N	DEB		N		N				N	Modern	Truncated to south by Clark	BS	5	Y	SP TO	1	OffRW	Slab. Worked surface down	1	0	0	0	0	0	1		N			N		N				143	62		16		N								MB	210513
94014	502799.86201	481001.53399	24.83556	SC13	TR34	A	16		312	1	Brushwood Area	Y - CC	2-3	Salix/Populus (p)	AR COP 2-3 yrs	N	RW		Y	Straight stem, central pith, curve and flair at proximal end	N				N	Modern	Distal end degraded	SH	4	Y	SN	0		Proximal end	0	0	0	0	0	1	0		N			N		N				1080					Y	35	25						MB	240513
94015	502799.69575	481001.18741	24.84363	SC13	TR34	A	16		312	1	Brushwood Area	Y				N	DEB		N		N				N	None		SH	4	Y	SP GS	1	Tan	Three scars of removed debris on one face. Possibly reconstructible order of removal	1	0	0	0	0	0	0		Y	Heavily	On one end and underside	N		Y	Possible groove and split debris			170	45	20	20	10	N								MB	240513
94016	502799.55824	481002.04267	24.85188	SC13	TR34	A	17		312	1	Brushwood Area	N		After photo		N	RW		Y	Straight stem, central pith, slight curve	N				N	Modern	Distal end degraded	BSH	4	Y	TR TO	0		Proximal end, Cut and tear	0	0	1	0	0	0	1		N			N		N				765					Y	35	25						MB	240513
94017	502799.57973	481000.73623	24.83936	SC13	TR34	A	16		312	1	Brushwood Area	Y				N	TIM		N		N				N	Modern	Extends into south baulk. Truncated to west by Clarks cutting II.	SH	3	Y	SP	0		Probably tan outer. SP face up	1	0	0	0	0	0	0	Tan outer	N			N		N				500	155	128	38	30	N								MB	240513
94018	502800.09992	481001.41374	24.82411	SC13	TR34	A	16		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	Modern	One end truncated, one end degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				360					Y	25	12						MB	240513
94019	502799.90679	481001.21291	24.84717	SC13	TR34	A	16		312	1	Brushwood Area	Y				N	RW		N		N				N	Modern	One end truncated, one end degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				960					Y	39	19						MB	240513
94020	502800.2311	481002.66127	23.66983	SC13	TR34	B	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	DEB		N		N				N	None		H	2	N		0			0	0	0	0	0	0	0		Y	Heavily	All over, tan aligned amorphous lump	N		N				290	95		40		N								MB	210513
94021	502801.6398	481002.46448	23.51489	SC13	TR34	C	17		312	1	Brushwood Area	Y				N	RWDEB		N		N				N	Modern	Fragmented	SH	4	Y	SP	0		roughly split	1	0	0	0	0	0	0	Rad 1/2	N			N		N				120	62		26		N				62	Worked surface directly underl. Same item, SP in antiquity	94013		MB	210513
94022	502801.26044	481002.85476	23.64193	SC13	TR34	C	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	DEB		N		N				N	None		H	2	N		0			0	0	0	0	0	0	0		Y	Heavily	All over, charred into amorphous lump	N		N				385	85	35	50	15	N								MB	210513
94023	502801.9699	481002.52036	23.54872	SC13	TR34	D	17		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				210					Y	12	7						MB	210513
94024	502801.25349	481002.44059	23.64608	SC13	TR34	C	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		Y	Moderate	One end, 4mm deep	N		N				295					Y	45	20						MB	210513
94025	#N/A	#N/A	#N/A	SC13	TR34	C	17		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				400					Y	29	20						MB	210513
94026	502801.51995	481002.68124	23.57547	SC13	TR34	C	17		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight and even, central pith, no side branches	N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				295					Y	20	9						MB	210513
94027	502801.96363	481002.978	23.5909	SC13	TR34	D	17	94030	312	1	Brushwood Area	Y				N	RW		N		N				N	Modern	Truncated to north by Clark	BSH	2	N		0			0	0	0	0	0	0	0		N			N		N				490					Y	250	70						MB	210513
94028	502802.12957	481002.8578	23.60565	SC13	TR34	D	17		312	1	Brushwood Area	Y				N	TIM		N		N				N	Modern	Both ends truncated by Clark. Mod root damage	SH	2	Y	SP GS	0		Some residual grooves on underside	1	0	0	0	0	0	0	Tan	N			N		N				802	86	39	5		N								MB	210513
94029	502802.15503	481002.5945	23.54668	SC13	TR34	D	17		312	1	Brushwood Area	Y				N	DEB		N		N				N	Modern	South end truncated by Clark	SH	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				212	125		13		N								MB	210513
94031	502803.61266	481002.08812	23.52546	SC13	TR34	E	16		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RWDEB	1 x SB D:20mm	N		N				N	Modern	Both ends degraded	BSH	3	Y	SP	0			1	0	0	0	0	0	0	Rad 1/8	N			N		N				280	25		15		N								MB	210513
94032	502803.74486	481001.80844	23.52846	SC13	TR34	E	16		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RWDEB		Y	Straight and even, no side branches	N				N	Modern	S end truncated by baulk, N end degraded	SH	3	Y	SP	0		Rad 1/3 split fades to tan outer chord	1	0	0	0	0	0	0	Rad 1/3	N			N		N				310	22	16	12	8	N								MB	210513
94033	502803.30312	481002.7136	23.58839	SC13	TR34	E	17		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	DEB		N		N				N	None		H	2	Y	SP GS PS	0		Long, parallel sided	1	0	0	0	0	0	0	Rad?	N			N		Y	Possible groove and split debris			160	28	20	4	2	N								MB	210513
94034	502799.87844	481001.82905	23.6872	SC13	TR34	A	16		312	1	Brushwood Area	Y - A		Salix spp.	SA	N	ART		Y	Straight and even with curve and flair, no side branches, central pith	N				N	Modern	Distal / east end truncated by Clark's trench	SH	4	Y	TR	0		Roots / base of coppice trimmed off at proximal end	0	0	1	0	0	0	0		N			N		Y	Utilised Roundwood	Digging Stick	Trimmed coppice ?heel. Very similar to digging stick.	621					Y	36	19						MB	210513
94036	502803.28565	481002.08062	23.52736	SC13	TR34	E	16		312	1	Brushwood Area	N		After photo		N	RW	Very slow grown, rings <1mm	Y	Straight and even with curve and flair	N				N	Modern	Distal / west end truncated by Clark's trench	BSH	4	Y	TR SN	0		Proximal end, TR from one direction and snapped. Worked face down in ground	0	0	1	0	0	1	0		N			N		N				145					Y	25	18						MB	210513
94043	502800.22671	481001.24891	24.81591	SC13	TR34	A	16		312	1	Brushwood Area	N		After photo		N	DEB	Straight grained	N		N				N	Modern	One end degraded, one end truncated by Clark's trench	H	4	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		Y	Possible groove and split debris			260	25	22	6	3	N								MB	240513
94044	#N/A	#N/A	#N/A	SC13	TR34	A	16		312	1	Brushwood Area	N		After photo		N	RW		N		N				N	Modern	One end truncated by clark	BSH	4	Y	TR SN	0		One end trimmed and snapped	0	0	1	0	0	1	0		N			N		N				160					Y	15	9						MB	240513
94045	502800.10756	481001.94313	24.87068	SC13	TR34	A	16		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		Y	Moderate	underside	N		N				85					Y	19	11						MB	240513
94046	502799.52897	481001.45853	24.85627	SC13	TR34	A	1		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight stem with slight curve at one end	N				N	None		BSH	4	Y	TR TO	0		One end trimmed and torn with step	0	0	1	0	0	0	1		N			N		N				780					Y	21	18						MT	
94047	#N/A	#N/A	#N/A	SC13	TR34	E	16		312	1	Brushwood Area	Y				N	TIM	1 x SB. Bark intact on whole of underside, thick - 6mm	N		N				N	Modern	One end truncated by baulk	BSH	3	Y	SP	0		Probably a split plank that has then been charred. Split face up	1	0	0	0	0	0	0	Tan outer	Y	Heavily	To at least 10mm depth ovet whole of upper / split face	N		N				590	260	185	62		N								MB	220513
94048	502803.37973	481002.40431	23.54778	SC13	TR34	E	16		312	1	Brushwood Area	Y - A		A, B and C all Salix	AH	N	ART		Y	Straight, even stem. No Side branches, central pith	N				N	Ancient & Modern	All ends degraded with the exception of torn 'C'. Moderate pin root damage. Cracked open longitudinally along grain in antiquity	SH	3	Y	TO	0		Three strands - A, B and C. A and B are each twisted a 1/2 turn anti-clockwise and A lies over B in a half turn clockwise. Unsure if C is part of B. Proximal end of C is torn at junction with trunk.	0	0	0	0	0	0	1		N			N		Y	Utilised Roundwood	Withy	Withy	-					Y	-	-						MB	220513
94049	502801.52215	481002.60866	23.55119	SC13	TR34	C	17		312	1	Brushwood Area	Y				N	DEB		N		N				N	Ancient & Modern	Truncated to south by Clark's trench. Very crushed, uncertain if caused in antiquity or by Clark	H	3	Y	SP	1	Tan	Worked surface down	1	0	0	0	0	0	0		N			N		N				165	40		10		N								MB	210513
94879	#N/A	#N/A	#N/A	SC13	TR34	B	22		310		Other	Y				N	DEB		N		N				N	Modern	One end truncated by clarks trench	H	3	Y	SP PS	0		Parallel sided	1	0	0	0	0	0	0	Rad	Y	100%	All over	N		N				510	67	55	15	10	N								MB	240513
94962	502801.07392	481015.77467	25.05588	SC13	TR34	11	16	Previously numbered as 99936, which was a duplicated number	312	1	Detrital Wood Scatter	N				N	RW		Y	Appears to be a trimmed heel	N				N	None		SH	5	Y	TR	0		Proximal / heel end trimmed	0	0	1	0	0	0	0		N			N		Y	utilised roundwood	unknown function	trimmed heel?	-					Y	18	15						MT	
95929	502797.02639	481011.78808	24.31794	SC13	TR34	A	27		310		Other - cutting V	Y				N	DEB		N		N				N	None		H	3	Y?	SP?	0			1	0	0	0	0	0	0	U/K	Y	100%	All over	N		N				90	55		12		N					Lifted in a group with	95929		MB	030613
96111	502803.5123	481003.11565	23.80645	SC13	TR34	-	-		Clark backfill		Other - cutting V	N				N	DEB		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	Y	Heavily	All over	N		Y		GS	Possible groove and split debris	197	60	42	10	2	N								MB	
96112	502803.73167	481003.13671	23.77974	SC13	TR34	-	-		Clark backfill		Other - cutting V	N				N	DEB		N		N				N	None		H	3	Y	SP	0		Tan alligned, very unusual transverse item	1	0	0	0	0	0	0	Transverse, Tan	Y	Heavily	All over	N		N				140	82	61	12	9	N								MB	
97183	502799.62723	481003.13377	23.84489	SC13	TR34	A	17		312	1	Brushwood Area	Y				?	ROOT		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				115					Y	16	5						MB	160513
97195	502799.60076	481003.32817	23.87667	SC13	TR34	A	17		312	1	Brushwood Area	Y				?	ROOT		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				135					Y	35	20						MB	160513
98001	502799.40898	481003.17763	24.96707	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	RW		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		Y	Moderate	One end of one face	N		N				238					Y	60	40						MB	240513
98002	502799.666	481003.66315	25.01438	SC13	TR34	A	18		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		Y	Straight and even with central pith	N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				422					Y	20	8						MB	240513
98003	502798.9761	481004.03922	25.06003	SC13	TR34	B	18		312	1	Brushwood Area	Y - C		Salix spp.	AH	N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				113					Y	17	8						MB	240513
98004	502798.96906	481004.05771	25.05834	SC13	TR34	A	17		312	1	Brushwood Area	Y				N	DEB		N		N				N	Modern	Both ends truncated by Barry Taylor in 2010	S	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				115	38	31	11	6	N								MB	240513
98005	502799.58281	481002.86136	24.91231	SC13	TR34	B	17		312	1	Brushwood Area	Y - C		Populus spp.	AH	N	TIM - TREE	Tree	N		N				N	Modern	truncated at both ends by Clark and by BT's macrofossil samples	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				2420					Y	135	80						MB	240513
98006	502799.00101	481004.78246	25.12703	SC13	TR34	A	19		312	1	Brushwood Area	Y - C		Populus spp.	AH	Y	ROOT - BOLE	Large area of roots thought to be a root bowl	N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				400	250		-		N								MB	240513
98007	502798.75025	481005.3335	23.80194	SC13	TR34	A	20		312	1	Brushwood Area	Y - C		Salix spp.	AH	Y	ROOT - BOLE	Large area of roots thought to be a root bowl	N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				350	260		-		N								MB	240513
98008	502798.50288	481006.88487	25.30915	SC13	TR34	A	21, 22		312	1	Brushwood Area	Y - C		Salix spp.	AH	Y	ROOT - BOLE	Large area of roots thought to be a root bowl	N		N				N	None		SH	2	N		0			0	0	0	0	0	0	0		N			N		N				300	200		-		N								MB	240513
98009	502803.90272	481002.8609	23.49478	SC13	TR34	E	16		312	2	Brushwood Area	Y - C		Salix spp.	AH	N	TIM		N		N				N	Modern	East end truncated by previous trench, west end degraded	SH	3	Y	SP HE GS	0		Hewn surface with grooves and facets present but not very clear. Working gradually fades out, but some faint grooves still visible	1	1	0	0	0	0	0	Tan	N			N		Y	Possible plank			930	170	103	41	19	N								MB	280513
98010	#N/A	#N/A	#N/A	SC13	TR34	A	16		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	Deraded at proximal end. Truncated at distal end	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				891					Y	29	20						MB	290513
98011	502799.38837	481001.20248	23.49761	SC13	TR34	A	16		312	2	Brushwood Area	Y				N	RW	Y shaped	N		N				N	Modern	Proximal end truncated	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				400					Y	29	14						MB	290513
98012	502799.54845	481001.66886	23.5138	SC13	TR34	A	16		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				870					Y	15	10						MB	290513
98013	502799.78774	481001.77469	23.52977	SC13	TR34	A	16		312	2	Brushwood Area	Y				N	DEB		N		N				N	Modern	Both ends degraded	H	4	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				193	32		5		N								MB	290513
98014	502801.37415	481002.89487	23.55935	SC13	TR34	C	17		312	2	Brushwood Area	Y - C		na	AR COP	N	RW		Y	Straight and even, no side branches	N				N	Modern	Both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				370					Y	20	10						MB	300513
98015	502799.99545	481002.27089	23.54049	SC13	TR34	B	17		312	2	Brushwood Area	Y				Y	ROOT - BOLE	Root complex	N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				600	240		-		N								MB	290513
98016	502800.46959	481002.92314	23.602	SC13	TR34	C	17		312	2	Brushwood Area	Y - C		Salix/Populus sp.	Dana Challinor	N	DEB		N		N				N	Modern	One end degraded	SH	4	Y	SP	0		Outer chord	1	0	0	0	0	0	0	Tan	N			N		Y	Probably wood working debris			120	32		21		N								MB	300513
98017	502800.57982	481003.17123	23.62697	SC13	TR34	B	17		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				490					Y	12	10						MB	300513
98018	502800.55642	481003.09862	23.61695	SC13	TR34	B	17		312	2	Brushwood Area	Y				N	RW	Y shaped	N		N				N	Modern	Proximal end truncated. Distal end degraded	BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				1050					Y	33	24						MB	300513
98019	502800.70122	481002.46555	23.54645	SC13	TR34	B	17		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				290					Y	42	24						MB	300513
98020	502799.64242	481002.6204	23.58611	SC13	TR34	A	17		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				340					Y	20	11						MB	300513
98021	502799.54354	481002.77472	23.57625	SC13	TR34	A	17		312	2	Brushwood Area	Y				Y	ROOT		N		N				N	Modern	Ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				1650					Y	58	40						MB	300513
98022	502799.0456	481002.49679	23.57823	SC13	TR34	A	17		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	One end degraded, one end truncated	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				130					Y	25	15						MB	300513
98023	502803.66846	481002.70379	23.47335	SC13	TR34	E	16		317	3	Brushwood Area	Y				Y	ROOT		N		N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				510					Y	15	9						MB	030613
98024	502803.93729	481002.20332	23.44688	SC13	TR34	E	16		317	3	Brushwood Area	Y				N	RW		N		N				N	None		BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				440					Y	9	6						MB	030613
98025	502803.92491	481002.27213	23.45847	SC13	TR34	E	16		317	3	Brushwood Area	Y				N	RW		N		N				N	None		BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				420					Y	9	6						MB	030613
98026	502803.92445	481002.28779	23.45141	SC13	TR34	E	16		317	3	Brushwood Area	Y				N	RW		N		N				N	None		BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				450					Y	11	7						MB	030613
98027	502800.15985	481002.01902	23.53089	SC13	TR34	B	17		317	3	Brushwood Area	Y				N	RW		N		N				N	None		SH	4	N		0			0	0	0	0	0	0	0		N			N		N				115					Y	25	16						MB	030613
98028	502800.67697	481002.62996	23.56101	SC13	TR34	C	17		317	3	Brushwood Area	Y				N	DEB		N		N				N	Modern	One end broken during excavation	H	4	Y	SP	0		Split surface is quite rough and torn	1	0	0	0	0	0	0	Tan outer	N			N		N				78	39	25	9	5	N								MB	030613
98029	502800.13215	481002.3029	23.5287	SC13	TR34	B	17		317	3	Brushwood Area	Y				N	RW		N		N				N	None		BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				390					Y	22	16						MB	030613
98030	502800.09444	481002.52438	23.54819	SC13	TR34	B	17		317	3	Brushwood Area	Y				N	RW		N		N				N	None		SH	4	N		0			0	0	0	0	0	0	0		N			N		N				175					Y	26	13						MB	030613
98031	502800.89246	481003.28787	23.66131	SC13	TR34	C	18		312	2	Brushwood Area	Y - C		cf Salix/Populus sp.	Dana Challinor	N	RWDEB		Y	Straight and even, no side branches	N				N	Modern	Proximal end truncated, distal end degraded	SH	4	Y	SP	0		Split face up	1	0	0	0	0	0	0	Rad 1/2	N			N		N				95	32		12		N				32				MB	300513
98032	#N/A	#N/A	#N/A	SC13	TR34	B	17		317	3	Brushwood Area	Y - A		Populus spp.	SA	N	ART		N		N				N	Modern	One end broken	H	4	Y	SP	0		Heartwood radial dowel with sub square cross section. One end rounded / flattened	1	0	0	0	0	0	0	Rad (mod)	N			Y	One end rounded / flattened	Y	Dowel	Digging Stick	Possible end of digging stick	102	20		15		N								MB	030613
98033	502800.17947	481002.32325	23.53001	SC13	TR34	B	17		317	3	Brushwood Area	Y				N	DEB		N		N				N	Ancient	Very very poor condition prior to waterlogging	BS	3	Y	SP	0		Slab, worked face up	1	0	0	0	0	0	0	Tan outer	N			N		N				145	32		11		N								MB	030613
98034	502803.0962	481002.71021	23.49195	SC13	TR34	D	17		317	3	Brushwood Area	Y				N	DEB		N		N				N	None		H	4	Y	SP PS GS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		Y	Possible groove and split debris			228	48	32	12	3	N								MB	030613
98035	502799.23358	481001.39812	23.51762	SC13	TR34	A	16		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	Both ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				320					Y	25	12						MB	290513
98036	#N/A	#N/A	#N/A	SC13	TR34	A	16		312	2	Brushwood Area	Y - C		na	AR RW CONTROL	N	RW		N		N				N	Ancient & Modern	Both ends degraded. Strange texture, ?poor condition before waterlogging	BSH	5	Y	BE	0		1 x SB (D: 10 x 12mm) beavered	0	0	0	1	0	0	0		N			N		N				95					Y	19	12						MB	290513
98037	502803.01462	481003.53019	23.56833	SC13	TR34	E	17		312	2	Brushwood Area	Y				N	DEB		N		N				N	None		H	3	Y	SP GS PS	0		Parallel sided	1	0	0	0	0	0	0	Tan	N			N		Y	Possible groove and split debris			120	23		5		N								MB	280513
98038	502802.02028	481002.57938	23.5446	SC13	TR34	D	17		312	2	Brushwood Area	Y				N	DEB		N		N				N	None		H	4	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				32	19		5		N								MB	280513
98039	502802.01421	481003.28881	23.58621	SC13	TR34	D	17		312	2	Brushwood Area	Y				N	DEB		N		N				N	Modern	Both ends degraded	H	4	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				85	32		14		N								MB	280513
98040	502801.87436	481002.7268	23.52107	SC13	TR34	D	17		312	2	Brushwood Area	Y				N	RW		N		N				N	Modern	One end truncated, one end degraded	BSH	3	N		0			0	0	0	0	0	0	0		N			N		N				315					N			20					MB	280513
