Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
116676	502795.3649	480997.1076	23.2848	SC15	TR34	ZV	14		312		Clark - 12/06/15	N				N	RW	side branch	N		N				N	None		SH	3	Y	TO	0		SB that has been torn from tree	0	0	0	0	0	0	1		N			N		N				132					Y	32	19						MB	220915
116677	502794.8439	480998.565	23.3832	SC15	TR34	ZU	15		312		Clark - 12/06/15	N				N	DEB		N		N				N	None		SH	4	Y	SP	1	Tan	outer	1	0	0	0	0	0	0		N			N		N				59	34		5		N								MB	220915
116678	502794.1394	480997.568	23.3207	SC15	TR34	ZT	15		312		Clark	Y - A		Salix spp.	SA	N	ART		Y	Straight and even with slight curve and flair at proximal end. Central pith. No siude branches	Y	Y	N	Small choppy facets on proximal end	N	None		SH	5	Y	TR TO	0		Proximal end trimmed and torn. Distal end possible chop and tear	0	0	1	0	0	0	1		N			Y	Diagonal marks / striations on one edge	Y	Utilised Roundwood	Stake	stake with striations	284					Y	29	14						MB	110915
116679	502793.91446	480998.21567	23.37847	SC15	TR34	ZT	15		312		Clark - 12/06/15	N				N	RW		Y	Lifting notes = yes	N				N	None		SH	4	Y	TO	0		TO along one edge	0	0	0	0	0	0	1		N			N		N				223					Y	12	10						MB	220915
116680	502793.9441	480998.4091	23.3602	SC15	TR34	ZT	15		312		Clark - 12/06/15	N				N	RW		Y	Lifting notes = yes	N				N	Modern	ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				85					Y	28	26						MB	280915
116681	502794.48031	480997.85748	23.504942	SC15	TR34	ZU	15		312		Clark - 12/06/15	N				N	RW		N		N				N	Modern	ends degraded	SH	4	Y	TO	0		TO along two outer faces	0	0	0	0	0	0	1		N			N		N				102					Y	35	11						MB	220915
116682	502795.7884	480997.0177	23.3364	SC15	TR34	ZV	14		312		Clark - 12/06/15	N				N	RW		Y	Lifting notes = yes	N				N	None		SH	3	N		0			0	0	0	0	0	0	0		N			N		N				248					Y	25	16						MB	220915
116683	502795.48352	480997.29742	23.446711	SC15	TR34	ZV	14		312		Clark - 12/06/15	N				N	RWDEB		N		N				N	None		SH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				110	20		9		N				20				MB	220915
116684	502794.26695	480998.42677	23.341732	SC15	TR34	ZU	15		312		Clark - 12/06/15	N				N	DEB		N		N				N	None		H	4	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				68	38		9		N								MB	220915
116685	502794.22078	480998.26642	23.378764	SC15	TR34	ZU	15		312		Clark - 12/06/15	N				N	DEB		N		N				N	Modern	fragmented	H	3	Y	SP	1	Tan		1	0	0	0	0	0	0		N			N		N				45	30		7		N								MB	220915
116686	502793.9341	480996.0923	23.3676	SC15	TR34	ZT	12		312		Clark - 12/06/15	N				N	DEB		N		N				N	Modern	fragmented	H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		Y	Woodworking debris?			126	46		5		N								MB	280915
116687	502794.0356	480996.2615	23.3503	SC15	TR34	ZT	13		312		Clark - 12/06/15	N				N	DEB		N		N				N	Modern	edges and one end broken	H	4	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		Y	Woodworking debris?			82	66		8		N								MB	031016
116688	502794.0539	480997.048	23.2995	SC15	TR34	ZT	15		312		Clark - 12/06/15	N				N	RW		N		N				N	Modern	ends broken	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				86					Y	29	19						MB	220915
116689	502798.8263	480991.3245	23.265	SC15	TR34	ZW	7		317		Clark	Y				N	RW		Y	Straight and even, no SB's, central pith	N				N	None		BSH	4	N		0			0	0	0	0	0	0	0		N			N		N				1465					Y	35	28						MB	120615
116690	502794.6262	480997.1284	23.3646	SC15	TR34	ZS	13		312		Clark	N				N	TIM		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				505	78		32		N								MB	120615
116691	502794.4753	480998.5527	23.4226	SC15	TR34	ZS	15		317		Clark	Y				N	RW		Y	Straight and even, no SB's, central pith	N				N	Modern	ends degraded	SH	4	N		0			0	0	0	0	0	0	0		N			N		N				1145					Y	26	14						MB	120615
116692	502794.3763	480998.7795	23.3974	SC15	TR34	ZU	15		317		Clark	Y				N	TIMDEB		N		N				N	Modern	ends degraded	H	3	Y	SP PS	0		Parallel sided.	1	0	0	0	0	0	0	Tan?	N			N		N				330	113		28		N								MB	120615
116693	502794.0622	480998.1722	23.6476	SC15	TR34	ZS	14		312		Clark - to S of bone bed	N				N	TIM		N		N				N	None		SH	4	Y	SP	0		Split fades to point at lower end. Split face up	1	0	0	0	0	0	0	Tan outer	N			N		N				1395	74		22		N								MB	120615
116694	502795.3904	480996.455	23.3558	SC15	TR34	ZU	14		312		Clark - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				195	62		8		N								MB	041016
116695	502795.5651	480997.5015	23.4299	SC15	TR34	ZV	14		312		Clark - 11/06/15	N				N	RWDEB		Y	Straight and even, no SB's, central pith	N				N	Modern	ends degraded	SH	4	Y	SP TR	0		one end / all dir to rounded point	1	0	1	0	0	0	0	Rad 1/2	N			N		N				156	20		15		N				20				MB	041016
116696	502795.4822	480997.4304	23.4466	SC15	TR34	ZV	14		312		Clark - 11/06/15	N				N	RW	brushwood	N		N				N	Modern	ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				130					Y	15	12						MB	041016
116697	502795.3944	480997.3933	23.4548	SC15	TR34	ZV	14		312		Clark - 11/06/15	N				N	RW		N		N				N	Modern	ends degraded	SH	3	N		0			0	0	0	0	0	0	0		Y	Charred through	One end	N		N				247					Y	32	16						MB	061016
116698	502796.1332	480997.4541	23.2775	SC15	TR34	ZV	15		312		Clark - 11/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Rad	N			N		Y	Woodworking debris?			65	48		15		N								MB	061016
116700	502794.9947	480998.6703	23.4628	SC15	TR34	ZU	15		312		Clark - 11/06/15	N				N	RW		N		N				N	Modern	ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				89					Y	19	10						MB	041016
