FindNo,N,16,6	Phase,C,254	x,N,16,6	y,N,16,6	z,N,16,6	SiteCode,C,254	Trench,N,16,6	Context,N,16,6	Grid,C,254	Type,C,254	Species,C,254	Element,C,254	Preservati,C,254	Informatio,N,16,6
115613	Clark's area (SW water)	502792.713	480999.1038	23.4412	SC15	34	312	ZT16	Tooth	Cyprinid sp.	Pharyngeal bone with tooth	C, H	3
116163	Clark's area	502795.142	481002.9731	23.5384	SC15	34	312	ZW14	Bone	Pike	Posterior abdominal vertebra	B	4
