Finds_no_,N,19,11	Site,C,254	x,N,19,11	y,N,19,11	z,N,19,11	Trench,N,19,11	Context,N,19,11	Grid,C,254	Type,C,254	Burnt,C,254	Utilised,C,254	Use,C,254	ID,C,254	Notes,C,254
94714	SC13	502799.14241	481009.50762	24.34617	34	310	B24	Stone					
94715	SC13	502799.10463	481009.33532	24.31542	34	310	B24	Stone					
94716	SC13	0	0	0	34	310	B24	Stone					
94892	SC13	502798.94145	481007.42111	24.21213	34	310	B22	Stone					
95908	SC13	502796.83696	481011.81583	24.33918	34	310	A27	Stone					Worked?
95911	SC13	502797.02356	481011.83109	24.38055	34	310	A27	Stone					Worked?
95919	SC13	502797.17355	481011.62155	24.33503	34	310	A27	Stone					Worked?
95948	SC13	502797.08572	481011.61154	24.32193	34	310	A27	Stone					Worked?
96011	SC13	502800.72072	481010.605	24.58174	34	310	D25	Stone					
96014	SC13	502800.84638	481010.52834	24.58894	34	310	D25	Stone					
96019	SC13	502800.86122	481010.2929	24.56891	34	310	D23	Stone					
96020	SC13	502800.83731	481009.96524	24.50593	34	310	D24	Stone					
96021	SC13	502800.98904	481010.21825	24.56528	34	310	D24	Stone					
96022	SC13	502800.86933	481010.33987	24.56564	34	310	D24	Stone					
96023	SC13	502800.9808	481010.10815	24.55293	34	310	D24	Stone					
96024	SC13	502801.48276	481009.06897	24.43564	34	310	D23	Stone					
96025	SC13	502801.89501	481009.05268	24.42741	34	310	E23	Stone					
96026	SC13	502801.08318	481009.84614	24.52896	34	310	D24	Stone					
96027	SC13	502801.04327	481010.00851	24.53488	34	310	D24	Stone					
96028	SC13	502801.07364	481010.12434	24.55516	34	310	D24	Stone					
96029	SC13	502801.12791	481009.93343	24.52978	34	310	D24	Stone					
96030	SC13	502800.9874	481010.32196	24.57507	34	310	D24	Stone					
96031	SC13	502801.08419	481010.24394	24.57253	34	310	D24	Stone					
96032	SC13	502801.12824	481010.26414	24.57903	34	310	D24	Stone					
96033	SC13	502800.97418	481010.0548	24.54328	34	310	D24	Stone					
96034	SC13	502800.92487	481009.99788	24.53198	34	310	D24	Stone					
96064	SC13	502804.86738	481009.56365	24.47999	34	308	H23	Stone					
96080	SC13	502806.11196	481007.55058	24.33006	34	308	I19	Stone					
96081	SC13	502805.74325	481007.84952	24.42132	34	301	H20	Stone					
96088	SC13	502806.71251	481007.66917	24.35237	34	308	I21	Stone				Natural	Thrown away
96089	SC13	502810.16556	481009.88558	24.56866	34	308	M22	Stone					
96091	SC13	502809.50409	481009.24813	24.54181	34	308	L21	Stone					
96107	SC13	502801.53615	481009.16091	24.47735	34	310	E23	Stone					
96108	SC13	502801.52507	481009.12378	24.47026	34	310	E23	Stone					
96151	SC13	502813.37561	481014.53519	24.82461	34	308	Q25	Stone					
96155	SC13	502816.30506	481008.36164	24.44543	34	308	R18	Stone				Natural	Thrown away
96175	SC13	502807.17155	481007.32845	24.2447	34	308	I19	Stone					
96188	SC13	502807.16369	481007.10033	24.23987	34	308	I19	Stone					
96311	SC13	502803.83235	481017.12486	24.98389	34	310	I30	Stone				Burnt?	
96417	SC13	502799.54471	481003.40172	23.8771	34	310	A17	Stone					
96419	SC13	502823.88985	481004.70578	24.29453	34	310	Y13	Stone					
96795	SC13	502821.19993	481003.25151	24.02545	34	310	V12	Stone		Y			
97137	SC13	502800.86019	481009.3591	24.46174	34	308	D23	Stone					
97139	SC13	502800.33808	481009.39043	24.43017	34	308	C24	Stone					
97157	SC13	502799.49971	481004.08273	23.9216	34	317	A17	Stone					
97159	SC13	502799.69081	481003.29524	23.87407	34	310	A17	Stone					
97163	SC13	502799.66777	481003.17583	23.84598	34	310	A17	Stone					
97166	SC13	502799.59061	481003.23248	23.861	34	310	A17	Stone					
97168	SC13	502799.02344	481002.42922	23.81937	34	310	A16	Stone					
97173	SC13	502799.488	481003.22346	23.87053	34	310	A17	Stone					
97178	SC13	502799.63127	481003.21433	23.85999	34	310	A17	Stone					
97181	SC13	502799.40874	481003.13578	23.83174	34	310	A17	Stone					
97184	SC13	502799.66043	481003.125	23.85277	34	310	A17	Stone					
97185	SC13	502799.64338	481003.06226	23.8334	34	310	A17	Stone					
97187	SC13	502799.34192	481003.30793	23.87072	34	310	A17	Stone					
97191	SC13	502799.46845	481003.37428	23.86082	34	310	A17	Stone					
97198	SC13	502799.52071	481004.03255	23.91155	34	310	??	Stone					
97200	SC13	502799.5101	481003.33059	23.85701	34	310	A17	Stone	Y				
97256	SC13	502799.40715	481002.95148	23.8442	34	310	A17	Stone					
97278	SC13	502799.62701	481002.96731	23.83174	34	310	A17	Stone					
97289	SC13	502799.65825	481002.94692	23.81515	34	310	A17	Stone					
97292	SC13	502799.61938	481003.14135	23.84576	34	310	A17	Stone					
97294	SC13	502799.71265	481003.08695	23.83894	34	310	A17	Stone					
97295	SC13	502799.55971	481003.13284	23.85606	34	310	A17	Stone					
97296	SC13	0	0	0	34	310	A17	Stone					
97299	SC13	502799.66071	481003.06231	23.83317	34	310	A17	Stone	Y				
97300	SC13	502799.72557	481003.00733	23.82827	34	310	A17	Stone					
97514	SC13	502798.57488	481004.37703	23.78421	34	312	A19	Stone	Y				
97515	SC13	502798.43583	481005.02179	23.85489	34	312	A19	Stone					
97555	SC13	502801.64898	481013.79338	24.95707	34	303	E28	Stone					
97572	SC13	502801.77769	481013.13171	24.90726	34	308	F28	Stone					
97577	SC13	502800.57705	481012.8559	24.79404	34	303	E28	Stone					
97587	SC13	502800.65935	481012.83438	24.78585	34	303	E28	Stone					
97588	SC13	502800.68862	481012.73198	24.78544	34	303	E28	Stone					
97589	SC13	502800.80469	481012.70292	24.79679	34	303	E28	Stone					
97590	SC13	502801.06159	481014.00197	24.93487	34	308	E28	Stone					
97623	SC13	502800.62619	481013.27986	24.88217	34	308	E27	Stone					
97624	SC13	502800.64129	481013.87677	24.91625	34	308	E27	Stone					
97637	SC13	502800.9399	481012.50272	24.78017	34	308	E27	Stone					
97639	SC13	502800.6954	481012.61796	24.77825	34	303	E27	Stone					
97646	SC13	502801.2589	481012.79314	24.86933	34	303	E27	Stone					
97649	SC13	502800.67293	481012.54725	24.7675	34	303	E27	Stone					
97650	SC13	502800.77399	481012.64417	24.79552	34	303	E27	Stone					
97659	SC13	502798.51135	481007.92655	24.22402	34	310	A23	Stone					
97670	SC13	502798.31738	481009.20801	24.19559	34	310	A23	Stone					
97674	SC13	502798.7545	481007.92589	24.17756	34	310	B23	Stone					
97676	SC13	502798.32914	481008.32082	24.17855	34	310	A23	Stone					
97679	SC13	502798.40621	481007.51066	24.17912	34	310	A23	Stone					
97680	SC13	502798.50148	481007.55584	24.19148	34	310	A23	Stone					
97709	SC13	502804.60253	481015.09705	25.00217	34	303	I28	Stone		Y			
97792	SC13	0	0	0	34	308	E29	Stone					
97868	SC13	502820.990588	481002.291764	23.727195	34	310	V12	Stone	Y				
97942	SC13	502806.27024	481013.40066	26.17672	34	303	J26	Stone					
97973	SC13	502803.94002	481015.15927	24.94771	34	308	H28	Stone					
98055	SC13	502820.44955	481003.02843	23.87076	34	310	U12	Stone		Y			
98063	SC13	0	0	0	34	310	T14	Stone					
98138	SC13	502823.64652	481002.65612	23.83888	34	312	Y12	Stone	Y				
98153	SC13	502823.47235	481005.34414	24.37039	34	316	Y14	Stone				Quartz	
98158	SC13	502799.51073	481000.7762	23.50813	34	310	A16	Stone	Y				
98331	SC13	502817.379009	480999.794749	23.649531	34	310	Q10	Stone					
98462	SC13	502804.65447	481012.65582	24.84804	34	308	H26	Stone					
98477	SC13	502804.48268	481013.33695	24.90734	34	308	H27	Stone					
98555	SC13	502803.37607	481017.09949	24.95449	34	308	I31	Stone				Shale	
98753	SC13	502799.89706	481001.21399	23.46518	34	317	A16	Stone	Y				
98815	SC13	502821.33093	481000.93425	23.66782	34	310	V10	Stone	Y				
